prob,player1,player2,pid
0.00119439,1.14551,0.854492,13868
prob,player1,player2,pid
0.00268739,0.141602,1.8584,13926
prob,player1,player2,pid
0.00179159,0.321289,1.67871,13704
prob,player1,player2,pid
0.00179159,1.53223,0.467773,13873
prob,player1,player2,pid
0.000353894,1.4873,0.512695,13800
prob,player1,player2,pid
0.00119439,0.301758,1.69824,13860
prob,player1,player2,pid
0.00119439,1.78223,0.217773,13859
prob,player1,player2,pid
0.00119439,0.883789,1.11621,13718
prob,player1,player2,pid
0.000530842,1.45801,0.541992,14003
prob,player1,player2,pid
0.000796262,0.364258,1.63574,13867
prob,player1,player2,pid
0.000530842,1.8877,0.112305,13858
prob,player1,player2,pid
0.00268739,0.266602,1.7334,13928
prob,player1,player2,pid
0.00119439,0.176758,1.82324,13857
prob,player1,player2,pid
0.00119439,0.34668,1.65332,13801
prob,player1,player2,pid
0.000796262,0.676758,1.32324,14033
prob,player1,player2,pid
0.000796262,0.84668,1.15332,14035
prob,player1,player2,pid
0.00179159,0.102539,1.89746,13689
prob,player1,player2,pid
0.000796262,0.895508,1.10449,13866
prob,player1,player2,pid
0.000796262,1.34668,0.65332,14037
prob,player1,player2,pid
0.000530842,1.67676,0.323242,14038
prob,player1,player2,pid
0.000796262,1.17676,0.823242,14036
prob,player1,player2,pid
0.00119439,0.583008,1.41699,13929
prob,player1,player2,pid
0.000353894,1.7373,0.262695,13802
prob,player1,player2,pid
0.000796262,1.58301,0.416992,14043
prob,player1,player2,pid
0.00119439,0.645508,1.35449,13865
prob,player1,player2,pid
0.000796262,1.64551,0.354492,14045
prob,player1,player2,pid
0.000796262,0.706055,1.29395,14044
prob,player1,player2,pid
0.00119439,0.206055,1.79395,13721
prob,player1,player2,pid
0.00179159,1.01074,0.989258,13902
prob,player1,player2,pid
0.000530842,1.70605,0.293945,14047
prob,player1,player2,pid
0.000796262,1.20605,0.793945,14046
prob,player1,player2,pid
0.00119439,0.59668,1.40332,13803
prob,player1,player2,pid
0.00119439,0.635742,1.36426,13903
prob,player1,player2,pid
0.00179159,0.204102,1.7959,13930
prob,player1,player2,pid
0.00119439,0.454102,1.5459,14049
prob,player1,player2,pid
0.000796262,1.59668,0.40332,14050
prob,player1,player2,pid
0.00119439,0.331055,1.66895,13724
prob,player1,player2,pid
0.000796262,1.20801,0.791992,13931
prob,player1,player2,pid
0.00179159,0.0263672,1.97363,13880
prob,player1,player2,pid
0.000796262,0.229492,1.77051,13904
prob,player1,player2,pid
0.00119439,0.0576172,1.94238,14048
prob,player1,player2,pid
0.00268739,0.516602,1.4834,13932
prob,player1,player2,pid
0.000530842,0.479492,1.52051,14063
prob,player1,player2,pid
0.00119439,0.581055,1.41895,13726
prob,player1,player2,pid
0.000796262,1.54199,0.458008,13907
prob,player1,player2,pid
0.00119439,1.09668,0.90332,13804
prob,player1,player2,pid
0.00119439,0.198242,1.80176,13887
prob,player1,player2,pid
0.00179159,1.75098,0.249023,13908
prob,player1,player2,pid
0.000796262,1.67285,0.327148,13964
prob,player1,player2,pid
0.000796262,0.307617,1.69238,14064
prob,player1,player2,pid
0.00179159,0.75293,1.24707,13805
prob,player1,player2,pid
0.00119439,0.643555,1.35645,13737
prob,player1,player2,pid
0.00179159,0.329102,1.6709,13933
prob,player1,player2,pid
0.00179159,0.260742,1.73926,13888
prob,player1,player2,pid
0.00119439,0.0888672,1.91113,14051
prob,player1,player2,pid
0.00119439,0.526367,1.47363,14065
prob,player1,player2,pid
0.00179159,1.25293,0.74707,13807
prob,player1,player2,pid
0.000796262,0.461914,1.53809,13965
prob,player1,player2,pid
0.00119439,1.3291,0.670898,14087
prob,player1,player2,pid
0.00119439,1.08301,0.916992,13934
prob,player1,player2,pid
0.00119439,0.768555,1.23145,13743
prob,player1,player2,pid
0.000796262,0.698242,1.30176,14076
prob,player1,player2,pid
0.000796262,1.76855,0.231445,14093
prob,player1,player2,pid
0.00268739,1.0166,0.983398,13935
prob,player1,player2,pid
0.00119439,0.938477,1.06152,13966
prob,player1,player2,pid
0.000530842,1.69824,0.301758,14094
prob,player1,player2,pid
0.00179159,1.12988,0.870117,13744
prob,player1,player2,pid
0.00119439,0.166992,1.83301,13889
prob,player1,player2,pid
0.00119439,0.586914,1.41309,13967
prob,player1,player2,pid
0.000796262,0.416992,1.58301,14095
prob,player1,player2,pid
0.00119439,0.573242,1.42676,13894
prob,player1,player2,pid
0.00179159,0.579102,1.4209,13936
prob,player1,player2,pid
0.00179159,1.18848,0.811523,13968
prob,player1,player2,pid
0.00268739,0.625977,1.37402,13890
prob,player1,player2,pid
0.00119439,0.399414,1.60059,13814
prob,player1,player2,pid
0.00119439,0.790039,1.20996,13745
prob,player1,player2,pid
0.000796262,1.57324,0.426758,14104
prob,player1,player2,pid
0.000796262,1.33301,0.666992,13939
prob,player1,player2,pid
0.000796262,0.666992,1.33301,14097
prob,player1,player2,pid
0.000530842,1.66699,0.333008,14108
prob,player1,player2,pid
0.00179159,0.510742,1.48926,13899
prob,player1,player2,pid
0.00119439,1.26855,0.731445,13746
prob,player1,player2,pid
0.000796262,1.79004,0.209961,14107
prob,player1,player2,pid
0.00119439,1.51074,0.489258,14109
prob,player1,player2,pid
0.00119439,0.323242,1.67676,13891
prob,player1,player2,pid
0.000796262,1.32324,0.676758,14111
prob,player1,player2,pid
0.000353894,1.8623,0.137695,13770
prob,player1,player2,pid
0.00119439,0.649414,1.35059,13815
prob,player1,player2,pid
0.00268739,1.12598,0.874023,13892
prob,player1,player2,pid
0.000796262,1.64941,0.350586,14112
prob,player1,player2,pid
0.00119439,0.291992,1.70801,13893
prob,player1,player2,pid
0.000796262,1.81738,0.182617,13776
prob,player1,player2,pid
0.00119439,1.14941,0.850586,13816
prob,player1,player2,pid
0.000796262,0.899414,1.10059,14098
prob,player1,player2,pid
0.00179159,1.37598,0.624023,13900
prob,player1,player2,pid
0.000796262,0.791992,1.20801,14113
prob,player1,player2,pid
0.000530842,1.79199,0.208008,14118
prob,player1,player2,pid
0.000796262,1.29199,0.708008,14115
prob,player1,player2,pid
0.00119439,0.360352,1.63965,14117
prob,player1,player2,pid
0.00119439,0.235352,1.76465,14114
prob,player1,player2,pid
0.00179159,0.110352,1.88965,13940
prob,player1,player2,pid
0.00119439,0.610352,1.38965,14120
prob,player1,player2,pid
0.000796262,0.860352,1.13965,14121
prob,player1,player2,pid
0.00179159,0.657227,1.34277,13819
prob,player1,player2,pid
0.000530842,1.89941,0.100586,14116
prob,player1,player2,pid
0.000796262,1.36035,0.639648,14123
prob,player1,player2,pid
0.00119439,1.11035,0.889648,14124
prob,player1,player2,pid
0.000796262,1.77051,0.229492,13944
prob,player1,player2,pid
0.000796262,1.23535,0.764648,14125
prob,player1,player2,pid
0.000796262,0.485352,1.51465,14119
prob,player1,player2,pid
0.000530842,1.83301,0.166992,13945
prob,player1,player2,pid
0.00179159,0.37793,1.62207,13785
prob,player1,player2,pid
0.000530842,1.48535,0.514648,14131
prob,player1,player2,pid
0.00119439,0.87793,1.12207,14129
prob,player1,player2,pid
0.000530842,0.985352,1.01465,14130
prob,player1,player2,pid
0.000796262,1.87793,0.12207,14133
prob,player1,player2,pid
0.00119439,1.37793,0.62207,14132
prob,player1,player2,pid
